2017-09-29 11:20:40 INFO run.py:215 GNS3 server version 2.0.3
2017-09-29 11:20:40 INFO run.py:217 Copyright (c) 2007-2017 GNS3 Technologies Inc.
2017-09-29 11:20:40 INFO run.py:220 Config file /etc/xdg/GNS3.conf loaded
2017-09-29 11:20:40 INFO run.py:220 Config file /gns3_server.conf loaded
2017-09-29 11:20:40 INFO run.py:220 Config file /Users/admin/.config/GNS3.conf loaded
2017-09-29 11:20:40 INFO run.py:220 Config file /etc/xdg/GNS3/gns3_server.conf loaded
2017-09-29 11:20:40 INFO run.py:220 Config file /etc/gns3/gns3_server.conf loaded
2017-09-29 11:20:40 INFO run.py:220 Config file /Users/admin/.config/GNS3/gns3_server.conf loaded
2017-09-29 11:20:40 WARNING run.py:226 Local mode is enabled. Beware, clients will have full control on your filesystem
2017-09-29 11:20:40 INFO run.py:229 uBridge will be used to handle node connections
2017-09-29 11:20:40 INFO run.py:239 Running with Python 3.5.2 and has PID 98158
2017-09-29 11:20:40 INFO web_server.py:265 Starting server on 127.0.0.1:3080
2017-09-29 11:20:40 INFO __init__.py:53 Load controller configuration file /Users/admin/.config/GNS3/gns3_controller.conf
2017-09-29 11:20:40 INFO __init__.py:57 Start controller
2017-09-29 11:20:40 INFO compute.py:79 Create compute local
2017-09-29 11:20:40 INFO base_events.py:979 <Server sockets=[<socket.socket fd=9, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('127.0.0.1', 3080)>]> is serving
2017-09-29 11:23:52 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:23:52 +0000] "GET /v2/computes HTTP/1.1" 200 741 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:23:58 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:23:58 +0000] "GET /v2/computes HTTP/1.1" 200 741 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:24:04 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:24:04 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:24:10 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:24:10 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:24:16 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:24:16 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:24:22 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:24:22 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:24:28 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:24:28 +0000] "GET /v2/computes HTTP/1.1" 200 741 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:24:34 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:24:34 +0000] "GET /v2/computes HTTP/1.1" 200 741 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:24:40 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:24:40 +0000] "GET /v2/computes HTTP/1.1" 200 741 "-" "GNS3 QT Client v2.0.3"
2017-09-29 11:24:46 INFO helpers.py:480 127.0.0.1 - - [29/Sep/2017:02:24:46 +0000] "GET /v2/computes HTTP/1.1" 200 740 "-" "GNS3 QT Client v2.0.3"
